Date,American Airlines,Apple,Bitcoin,Ropa,Zlato,Med,Lufthansa,Zemni plyn,Stribro,Tesla,rok
01.01.2015,49.08,29.29,217.46,48.24,1278.50,2.53,16.95,2.69,17.19,40.72,2015
01.02.2015,47.90,32.12,254.26,59.63,1182.40,2.89,14.65,2.75,16.12,40.67,2015
01.03.2015,52.78,31.11,244.22,60.30,1189.40,2.76,14.00,2.64,16.68,37.75,2015
01.04.2015,48.29,31.29,236.15,59.47,1171.50,2.62,13.90,2.83,15.55,45.21,2015
01.05.2015,42.37,32.57,230.19,47.12,1094.90,2.37,14.18,2.72,14.75,50.16,2015
01.06.2015,39.94,31.36,263.07,49.20,1131.60,2.34,13.00,2.69,14.58,53.65,2015
01.07.2015,40.10,30.33,284.65,45.09,1115.50,2.35,13.54,2.52,14.51,53.23,2015
01.08.2015,38.98,28.19,230.06,46.59,1141.50,2.31,12.13,2.32,15.57,49.81,2015
01.09.2015,38.83,27.58,236.06,37.04,1060.30,2.13,13.87,2.34,13.78,49.68,2015
01.10.2015,46.22,29.88,314.17,33.62,1116.40,2.06,14.71,2.30,14.23,41.39,2015
01.11.2015,41.26,29.58,377.32,33.75,1233.90,2.13,14.30,1.71,14.90,46.05,2015
01.12.2015,42.35,26.32,430.57,38.34,1234.20,2.18,15.71,1.96,15.46,48.00,2015
01.01.2016,38.99,24.33,368.77,45.92,1289.20,2.28,14.60,2.18,17.79,38.24,2016
01.02.2016,41.00,24.17,437.70,48.33,1318.40,2.19,14.85,2.92,18.58,38.39,2016
01.03.2016,41.01,27.25,416.73,41.60,1349.00,2.22,16.14,2.88,20.31,45.95,2016
01.04.2016,34.69,23.43,448.32,44.70,1306.90,2.07,15.52,2.89,18.62,48.15,2016
01.05.2016,31.91,24.97,531.39,48.24,1313.30,2.20,13.95,2.91,19.14,44.65,2016
01.06.2016,28.31,23.90,673.34,46.86,1271.50,2.20,11.82,3.03,17.76,42.46,2016
01.07.2016,35.50,26.05,624.68,49.44,1170.80,2.62,11.85,3.35,16.41,46.96,2016
01.08.2016,36.30,26.53,575.47,53.72,1150.00,2.50,11.63,3.72,15.94,42.40,2016
01.09.2016,36.61,28.26,609.73,54.01,1252.60,2.70,11.09,2.77,18.42,40.81,2016
01.10.2016,40.60,28.39,700.97,50.60,1247.30,2.65,12.74,3.19,18.24,39.55,2016
01.11.2016,46.44,27.63,745.69,49.33,1266.10,2.60,12.90,3.28,17.19,37.88,2016
01.12.2016,46.69,28.96,963.74,48.32,1272.00,2.58,12.90,3.07,17.37,42.74,2016
01.01.2017,44.25,30.34,970.40,46.04,1240.70,2.70,13.37,3.04,16.57,50.39,2017
01.02.2017,46.36,34.25,1179.97,50.17,1266.60,2.89,14.57,2.79,16.75,50.00,2017
01.03.2017,42.30,35.92,1071.79,47.23,1316.20,3.08,16.18,3.04,17.48,55.66,2017
01.04.2017,42.62,35.91,1347.89,51.67,1281.50,2.94,17.18,3.01,16.61,62.81,2017
01.05.2017,48.41,38.19,2286.41,57.40,1273.20,3.04,19.41,3.03,16.38,68.20,2017
01.06.2017,50.32,36.01,2480.84,60.42,1306.30,3.28,22.81,2.95,17.06,72.32,2017
01.07.2017,50.44,37.18,2875.34,64.73,1339.00,3.18,21.47,3.00,17.20,64.69,2017
01.08.2017,44.74,41.00,4703.39,61.64,1315.50,3.11,25.04,2.67,16.32,71.18,2017
01.09.2017,47.49,38.53,4338.71,64.94,1322.80,3.02,27.77,2.73,16.22,68.22,2017
01.10.2017,46.82,42.26,6468.40,67.04,1300.10,3.06,32.16,2.95,16.40,66.31,2017
01.11.2017,50.49,42.96,10233.60,74.15,1251.30,2.95,34.36,2.92,16.10,61.77,2017
01.12.2017,52.03,42.31,14156.40,69.80,1200.30,2.65,36.80,2.92,14.44,62.27,2017
01.01.2018,54.32,41.86,10221.10,73.25,1191.50,2.79,35.67,3.01,14.62,70.86,2018
01.02.2018,54.25,44.53,10397.90,65.31,1212.30,2.66,33.39,3.26,14.23,68.61,2018
01.03.2018,51.96,41.95,6973.53,50.93,1220.20,2.78,32.02,4.61,14.09,53.23,2018
01.04.2018,42.93,41.31,9240.55,45.41,1278.30,2.63,29.07,2.94,15.43,58.78,2018
01.05.2018,43.54,46.72,7494.17,53.79,1319.70,2.79,27.21,2.81,16.02,56.95,2018
01.06.2018,37.96,46.28,6404.00,57.22,1312.80,2.95,23.98,2.81,15.54,68.59,2018
01.07.2018,39.54,47.57,7780.44,60.14,1293.00,2.94,28.05,2.66,15.06,59.63,2018
01.08.2018,40.48,56.91,7037.58,63.91,1282.80,2.90,26.10,2.58,14.90,60.33,2018
01.09.2018,41.33,56.44,6625.56,53.50,1305.80,2.65,24.52,2.45,14.53,52.95,2018
01.10.2018,35.08,54.72,6317.61,58.47,1409.70,2.71,20.10,2.31,15.25,67.46,2018
01.11.2018,40.16,44.65,4017.27,58.58,1426.10,2.66,24.53,2.23,16.35,70.10,2018
01.12.2018,32.11,39.44,3742.70,55.10,1519.10,2.53,22.95,2.29,18.18,66.56,2018
01.01.2019,35.77,41.61,3457.79,54.18,1511.40,2.63,25.30,2.63,18.01,61.40,2019
01.02.2019,35.63,43.29,3854.79,55.17,1465.60,2.64,25.56,2.28,16.97,63.98,2019
01.03.2019,31.76,47.49,4105.40,51.56,1582.90,2.52,21.94,1.84,17.97,55.97,2019
01.04.2019,34.18,50.17,5350.73,44.76,1564.10,2.55,24.11,1.68,16.39,47.74,2019
01.05.2019,27.23,43.77,8574.50,18.84,1684.20,2.35,18.98,1.95,14.90,37.03,2019
01.06.2019,32.61,49.48,10817.16,35.49,1736.90,2.43,17.13,1.85,18.44,44.69,2019
01.07.2019,30.51,53.26,10085.63,39.27,1793.00,2.71,15.85,1.75,18.54,48.32,2019
01.08.2019,26.31,52.19,9630.66,40.27,1962.80,2.86,15.37,1.80,24.19,45.12,2019
01.09.2019,26.97,55.99,8293.87,42.61,1967.60,3.04,15.92,2.63,28.44,48.17,2019
01.10.2019,30.06,62.19,9199.58,40.22,1887.50,3.03,17.43,2.53,23.43,62.98,2019
01.11.2019,28.74,66.81,7569.63,35.79,1877.40,3.04,19.02,3.35,23.62,65.99,2019
01.12.2019,28.68,73.41,7193.60,48.52,1893.10,3.51,18.15,2.54,26.33,83.67,2019
01.01.2020,26.84,77.38,9350.53,51.56,1582.9,2.52,15.26,1.84,17.97,130.11,2020
01.02.2020,19.05,68.34,8599.51,44.76,1564.1,2.55,12.95,1.68,16.39,133.60,2020
01.03.2020,12.19,63.57,6438.64,28.70,1589.3,2.39,9.49,1.81,12.77,104.80,2020
01.04.2020,12.01,73.45,8658.55,18.84,1684.2,2.35,8.95,1.95,14.90,156.38,2020
01.05.2020,10.50,79.49,9461.06,35.49,1736.9,2.43,10.26,1.85,18.44,167.00,2020
01.06.2020,13.07,91.20,9137.99,39.27,1793,2.71,10.10,1.75,18.54,215.96,2020
01.07.2020,11.12,106.26,11323.47,40.27,1962.8,2.86,8.74,1.80,24.19,286.15,2020
01.08.2020,13.05,129.04,11680.82,42.61,1967.6,3.04,10.47,2.63,28.44,498.32,2020
01.09.2020,12.29,115.81,10787.62,40.22,1887.5,3.03,8.70,2.53,23.43,429.01,2020
01.10.2020,11.28,108.86,13781.00,35.79,1877.4,3.04,8.54,3.35,23.62,388.04,2020
01.11.2020,14.13,119.05,19625.84,41.34,1894.6,3.22,11.61,2.69,24.63,567.60,2020
01.12.2020,15.77,132.69,29001.72,48.52,1893.1,3.51,13.13,2.54,26.33,705.67,2020
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
